price,const_type,net_m2,brut_m2,room,age,floor,no_of_floor,heating,due,deposit,no_of_bathroom,no_of_wc,in_site,furniture,location
1500,Betonarme,75,95,2+1,20 Ve Üzeri,1,6,Kombi Doğalgaz,0,1500,1,1,Hayır,Boş,Küçükçekmece
900,Betonarme,85,95,2+1,11-20,3,4,Kombi Doğalgaz,25,900,1,1,Hayır,Boş,Pendik
1000,Betonarme,130,140,3+1,11-20,4,4,Kombi Doğalgaz,0,1000,1,1,Hayır,Boş,Pendik
1500,Betonarme,80,85,2+1,20 Ve Üzeri,2,5,Kombi Doğalgaz,20,1500,1,1,Hayır,Boş,Kartal
1500,Betonarme,85,90,2+1,20 Ve Üzeri,3,5,Kombi Doğalgaz,20,1500,1,1,Hayır,Boş,Bahçelievler
4100,Betonarme,160,170,3+1,20 Ve Üzeri,4,14,Merkezi Doğalgaz,0,0,2,1,Hayır,Boş,Beşiktaş
4000,Betonarme,100,110,2+1,20 Ve Üzeri,1,7,Merkezi Doğalgaz,0,0,1,1,Hayır,Boş,Beşiktaş
3750,Betonarme,85,90,2+1,20 Ve Üzeri,0,12,Kombi Doğalgaz,0,0,2,1,Hayır,Eşyalı,Şişli
4200,Betonarme,67,84,1+1,5-10,24,30,Merkezi (Pay Ölçer),0,0,1,1,Hayır,Boş,Ataşehir
3700,Betonarme,100,110,3+1,20 Ve Üzeri,2,10,Merkezi (Pay Ölçer),0,0,1,1,Evet,Boş,Bakırköy
1250,Betonarme,80,85,2+1,5-10,1,4,Kombi Doğalgaz,0,1250,1,1,Hayır,Boş,Gaziosmanpaşa
850,Betonarme,50,66,1+1,1-4,4,8,Merkezi (Pay Ölçer),0,0,1,1,Hayır,Boş,Tuzla
1700,Betonarme,125,135,3+1,20 Ve Üzeri,4,6,Kombi Doğalgaz,0,2000,1,2,Hayır,Boş,Bahçelievler
1000,Betonarme,80,85,2+1,20 Ve Üzeri,4,4,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Maltepe
1450,Betonarme,75,90,2+1,11-20,1,4,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Ümraniye
1950,Betonarme,60,75,2+1,5-10,6,13,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Küçükçekmece
1650,Betonarme,95,100,3+1,20 Ve Üzeri,1,3,Kombi Doğalgaz,0,0,2,2,Hayır,Boş,Beyoğlu
2900,Betonarme,48,52,1+1,1-4,16,30,Merkezi Doğalgaz,0,0,1,1,Hayır,Eşyalı,Başakşehir
2000,Betonarme,115,120,3+1,20 Ve Üzeri,5,5,Kombi Doğalgaz,30,2000,1,1,Hayır,Boş,Bahçelievler
4500,Betonarme,5,30,1+1,11-20,2,5,Merkezi Doğalgaz,0,0,1,1,Hayır,Eşyalı,Beyoğlu
3200,Betonarme,120,130,3+1,5-10,5,7,Merkezi (Pay Ölçer),0,0,1,1,Hayır,Eşyalı,Beylikdüzü
5750,Betonarme,145,165,3+1,20 Ve Üzeri,2,5,Kombi Doğalgaz,0,0,1,1,Hayır,Boş,Bakırköy
4000,Betonarme,130,135,3+1,20 Ve Üzeri,0,4,Kombi Doğalgaz,0,8000,1,2,Hayır,Boş,Fatih
1750,Betonarme,80,85,2+1,20 Ve Üzeri,4,4,Kombi Doğalgaz,0,1750,1,1,Hayır,Boş,Beyoğlu
4000,Betonarme,80,90,1+1,0 (Yeni),8,30,Merkezi (Pay Ölçer),0,0,1,1,Hayır,Boş,Beylikdüzü
2300,Other,100,115,3+1,20 Ve Üzeri,1,5,Merkezi Doğalgaz,0,2500,1,2,Hayır,Boş,Bahçelievler
1700,Betonarme,80,85,2+1,20 Ve Üzeri,0,4,Kombi Doğalgaz,25,1700,1,1,Hayır,Boş,Üsküdar
