price,ann_date,type,category,const_type,net_m2,brut_m2,room,age,floor,no_of_floor,heating,due,deposit,no_of_bathroom,no_of_wc,in_site,furniture,location
"1,900TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,50 m2,70 m2,1+1,5-10,13. Kat,16,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Avcılar
"4,000TL",26 Şubat 2021,Konut,Kiralık,Betonarme,115 m2,125 m2,3+1,20 Ve Üzeri,4. Kat,5,Merkezi Doğalgaz,450 TL,4.000 TL,1,1,Hayır,Boş,Beşiktaş
"2,200TL",25 Şubat 2021,Konut,Kiralık,Betonarme,100 m2,120 m2,3+1,4,Düz Giriş,6,Kombi Doğalgaz,50 TL,4.400 TL,1,1,Hayır,Eşyalı,Beylikdüzü
"2,000TL",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,100 m2,2+1,5-10,1. Kat,9,Merkezi (Pay Ölçer),280 TL,Belirtilmemiş,1,1,Hayır,Eşyalı,Esenyurt
"7,500TL",24 Şubat 2021,Konut,Kiralık,Betonarme,128 m2,140 m2,2+1,20 Ve Üzeri,2. Kat,6,Merkezi Doğalgaz,1.450 TL,Belirtilmemiş,2,Belirtilmemiş,Evet,Boş,Beşiktaş
"1,500TL",25 Şubat 2021,Konut,Kiralık,Betonarme,85 m2,98 m2,2+1,5-10,3. Kat,5,Kombi Doğalgaz,40 TL,1.500 TL,1,1,Hayır,Boş,Pendik
"1,800TL",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,100 m2,101 m2,2+1,5-10,1. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Bayrampaşa
"3,100TL",24 Şubat 2021,Konut,Kiralık,Belirtilmemiş,85 m2,95 m2,2+1,4,8. Kat,12,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Belirtilmemiş,Eyüpsultan
"1,750TL",24 Şubat 2021,Konut,Kiralık,Betonarme,62 m2,63 m2,1+1,20 Ve Üzeri,3. Kat,3,Merkezi Doğalgaz,210 TL,3.500 TL,1,1,Hayır,Eşyalı,Küçükçekmece
"2,500TL",23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,75 m2,2+1,1,3. Kat,6,Kombi Doğalgaz,Belirtilmemiş,5.000 TL,1,1,Hayır,Belirtilmemiş,Başakşehir
950TL,23 Şubat 2021,Konut,Kiralık,Betonarme,130 m2,140 m2,2+2,0 (Yeni),1. Kat,4,Kombi Doğalgaz,30 TL,950 TL,1,1,Hayır,Boş,Sancaktepe
900TL,23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,80 m2,2+1,11-20,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Pendik
950TL,23 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,75 m2,1+1,11-20,1. Kat,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Tuzla
"1,650TL",22 Şubat 2021,Konut,Kiralık,Betonarme,57 m2,58 m2,1+1,11-20,9. Kat,9,Merkezi Doğalgaz,420 TL,3.300 TL,1,1,Hayır,Eşyalı,Küçükçekmece
"4,200TL",21 Şubat 2021,Konut,Kiralık,Belirtilmemiş,150 m2,190 m2,4+1,1,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,3,Belirtilmemiş,Hayır,Boş,Beylikdüzü
"1,500TL",20 Şubat 2021,Konut,Kiralık,Betonarme,60 m2,80 m2,2+1,20 Ve Üzeri,2. Kat,4,Kombi Doğalgaz,0 TL,1.500 TL,1,1,Hayır,Boş,Bağcılar
"12,000TL",21 Şubat 2021,Konut,Kiralık,Betonarme,380 m2,420 m2,5+2,11-20,Villa Tipi,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,3,3,Evet,Boş,Başakşehir
"6,800TL",20 Şubat 2021,Konut,Kiralık,Betonarme,106 m2,122 m2,3+1,0 (Yeni),2. Kat,8,Merkezi (Pay Ölçer),200 TL,13.000 TL,2,2,Hayır,Boş,Kadıköy
"1,250TL",21 Şubat 2021,Konut,Kiralık,Belirtilmemiş,65 m2,75 m2,1+1,0 (Yeni),3. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Pendik
"3,250TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,119 m2,3+1,5-10,11. Kat,30,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Kartal Kiralık Residenc
"1,400TL",19 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,85 m2,1+1,4,1. Kat,3,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Tuzla
"2,750TL",19 Şubat 2021,Konut,Kiralık,Betonarme,110 m2,135 m2,3+1,11-20,9. Kat,9,Kombi Doğalgaz,260 TL,Belirtilmemiş,2,Belirtilmemiş,Evet,Boş,Ümraniye
"1,600TL",19 Şubat 2021,Konut,Kiralık,Betonarme,28 m2,35 m2,Stüdyo,20 Ve Üzeri,3. Kat,5,Klimalı,Belirtilmemiş,1.600 TL,1,1,Hayır,Eşyalı,Kadıköy
"1,500TL",19 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,95 m2,2+1,20 Ve Üzeri,Kot 2,5,Kombi Doğalgaz,20 TL,1.500 TL,1,1,Hayır,Boş,Bahçelievler
"1,600TL",18 Şubat 2021,Konut,Kiralık,Betonarme,80 m2,90 m2,1+1,20 Ve Üzeri,Kot 3,4,Kombi Doğalgaz,30 TL,1.600 TL,1,1,Hayır,Boş,Küçükçekmece
"4,250TL",19 Şubat 2021,Konut,Kiralık,Betonarme,135 m2,171 m2,3+1,4,7. Kat,15,Merkezi (Pay Ölçer),Belirtilmemiş,8.500 TL,2,2,Hayır,Boş,Esenyurt
"7,000TL",18 Şubat 2021,Konut,Kiralık,Betonarme,200 m2,220 m2,3+1,20 Ve Üzeri,5. Kat,5,Merkezi Doğalgaz,0 TL,10.000 TL,2,1,Hayır,Boş,Bakırköy
"2,250TL",18 Şubat 2021,Konut,Kiralık,Belirtilmemiş,37 m2,40 m2,1+1,20 Ve Üzeri,11. Kat,14,Merkezi Doğalgaz,Belirtilmemiş,4.500 TL,1,1,Hayır,Boş,Bakırköy
"2,700TL",18 Şubat 2021,Konut,Kiralık,Belirtilmemiş,300 m2,310 m2,4+1,11-20,Çatı Dubleks,4,Kombi Doğalgaz,Belirtilmemiş,2.700 TL,2,2,Hayır,Belirtilmemiş,Avcılar
"1,500TL",19 Şubat 2021,Konut,Kiralık,Betonarme,60 m2,70 m2,1 Oda,5-10,Çatı Katı,4,Kombi Doğalgaz,30 TL,1.500 TL,1,1,Hayır,Boş,Küçükçekmece
"3,150TL",18 Şubat 2021,Konut,Kiralık,Belirtilmemiş,105 m2,134 m2,3+1,5-10,12. Kat,16,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Ümraniye
"1,450TL",17 Şubat 2021,Konut,Kiralık,Betonarme,80 m2,90 m2,2+1,20 Ve Üzeri,4. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Boş,Gaziosmanpaşa
"2,750TL",18 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,100 m2,3+1,20 Ve Üzeri,2. Kat,4,Kombi Doğalgaz,0 TL,2.750 TL,1,1,Hayır,Belirtilmemiş,Fatih
"1,200TL",17 Şubat 2021,Konut,Kiralık,Betonarme,80 m2,90 m2,2+1,5-10,Yüksek Giriş,5,Kombi Doğalgaz,Belirtilmemiş,1.200 TL,1,2,Hayır,Boş,Pendik
"1,550TL",16 Şubat 2021,Konut,Kiralık,Belirtilmemiş,75 m2,95 m2,2+1,2,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Gaziosmanpaşa
"8,000TL",17 Şubat 2021,Konut,Kiralık,Belirtilmemiş,150 m2,175 m2,3+1,1,6. Kat,7,Kombi Doğalgaz,460 TL,16.000 TL,2,Belirtilmemiş,Hayır,Belirtilmemiş,Beylikdüzü
"2,750TL",16 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,90 m2,2+1,20 Ve Üzeri,1. Kat,4,Kombi Doğalgaz,20 TL,3.000 TL,1,1,Hayır,Eşyalı,Fatih
"3,000TL",13 Şubat 2021,Konut,Kiralık,Belirtilmemiş,96 m2,100 m2,2+1,0 (Yeni),Bahçe Katı,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Beylikdüzü
"2,250TL",13 Şubat 2021,Konut,Kiralık,Betonarme,100 m2,115 m2,2+1,20 Ve Üzeri,5. Kat,5,Kombi Doğalgaz,75 TL,4.500 TL,1,1,Hayır,Boş,Beyoğlu
"1,000TL",13 Şubat 2021,Konut,Kiralık,Betonarme,60 m2,70 m2,1+1,20 Ve Üzeri,3. Kat,3,Isıtma Yok,Belirtilmemiş,1.000 TL,1,1,Hayır,Boş,Beyoğlu
"7,000TL",12 Şubat 2021,Konut,Kiralık,Belirtilmemiş,100 m2,130 m2,3+1,5-10,13. Kat,14,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Eşyalı,Bayrampaşa Kiralık Residenc
"5,500TL",11 Şubat 2021,Konut,Kiralık,Belirtilmemiş,105 m2,139 m2,2+1,11-20,23. Kat,23,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Ataşehir Kiralık Residenc
"1,500TL",11 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,100 m2,2+1,20 Ve Üzeri,Bahçe Katı,4,Doğalgaz Sobalı,25 TL,1.500 TL,1,1,Hayır,Boş,Fatih
"11,750TL",11 Şubat 2021,Konut,Kiralık,Betonarme,160 m2,205 m2,4+1,1,12. Kat,17,Merkezi (Pay Ölçer),750 TL,25.000 TL,2,2,Evet,Eşyalı,Başakşehir
"1,100TLarrow_downward",10 Şubat 2021,Konut,Kiralık,Belirtilmemiş,40 m2,55 m2,1 Oda,20 Ve Üzeri,3. Kat,3,Isıtma Yok,0 TL,1.200 TL,1,Belirtilmemiş,Hayır,Belirtilmemiş,Fatih
"140,000TL",10 Şubat 2021,Konut,Kiralık,Belirtilmemiş,650 m2,750 m2,6+1,20 Ve Üzeri,Düz Giriş,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,4,Belirtilmemiş,Hayır,Belirtilmemiş,Beykoz Kiralık Köş
"1,600TL",09 Şubat 2021,Konut,Kiralık,Betonarme,90 m2,95 m2,3+1,11-20,Yüksek Giriş,4,Kombi Doğalgaz,0 TL,1.600 TL,2,1,Hayır,Boş,Sarıyer
"1,500TLarrow_downward",08 Şubat 2021,Konut,Kiralık,Betonarme,85 m2,88 m2,2+1,2,2. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,2,Hayır,Boş,Maltepe
"3,200TL",09 Şubat 2021,Konut,Kiralık,Belirtilmemiş,140 m2,150 m2,3+1,11-20,6. Kat,8,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Beylikdüzü
"13,000TL",08 Şubat 2021,Konut,Kiralık,Belirtilmemiş,330 m2,360 m2,5+2,11-20,Düz Giriş,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,4,Belirtilmemiş,Hayır,Eşyalı,Başakşehir Kiralık V
"18,000TL",07 Şubat 2021,Konut,Kiralık,Belirtilmemiş,400 m2,430 m2,6+2,0 (Yeni),Düz Giriş,4,Yerden Isıtma,Belirtilmemiş,Belirtilmemiş,5,Belirtilmemiş,Hayır,Boş,Sarıyer Kiralık V
"16,000TL",07 Şubat 2021,Konut,Kiralık,Belirtilmemiş,350 m2,360 m2,5+1,0 (Yeni),Düz Giriş,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,4,Belirtilmemiş,Hayır,Boş,Sarıyer Kiralık V
"1,500TL",07 Şubat 2021,Konut,Kiralık,Betonarme,75 m2,95 m2,2+1,20 Ve Üzeri,1. Kat,6,Kombi Doğalgaz,Belirtilmemiş,1.500 TL,1,1,Hayır,Boş,Küçükçekmece
900TL,05 Şubat 2021,Konut,Kiralık,Betonarme,85 m2,95 m2,2+1,11-20,3. Kat,4,Kombi Doğalgaz,25 TL,900 TL,1,1,Hayır,Boş,Pendik
"1,000TL",04 Şubat 2021,Konut,Kiralık,Betonarme,130 m2,140 m2,3+1,11-20,4. Kat,4,Kombi Doğalgaz,0 TL,1.000 TL,1,1,Hayır,Boş,Pendik
"1,500TL",04 Şubat 2021,Konut,Kiralık,Betonarme,80 m2,85 m2,2+1,20 Ve Üzeri,2. Kat,5,Kombi Doğalgaz,20 TL,1.500 TL,1,1,Hayır,Boş,Kartal
"1,500TLarrow_downward",01 Şubat 2021,Konut,Kiralık,Betonarme,85 m2,90 m2,2+1,20 Ve Üzeri,3. Kat,5,Kombi Doğalgaz,20 TL,1.500 TL,1,1,Hayır,Boş,Bahçelievler
"4,100TL",31 Ocak 2021,Konut,Kiralık,Belirtilmemiş,160 m2,170 m2,3+1,20 Ve Üzeri,4. Kat,14,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Beşiktaş
"7,500TL",31 Ocak 2021,Konut,Kiralık,Belirtilmemiş,130 m2,140 m2,2+1,20 Ve Üzeri,6. Kat,12,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Beşiktaş
"4,000TL",31 Ocak 2021,Konut,Kiralık,Belirtilmemiş,100 m2,110 m2,2+1,20 Ve Üzeri,1. Kat,7,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Beşiktaş
"15,000TL",29 Ocak 2021,Konut,Kiralık,Belirtilmemiş,400 m2,440 m2,5+2,11-20,Düz Giriş,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,5,Belirtilmemiş,Hayır,Boş,Bakırköy Kiralık V
"3,750TL",29 Ocak 2021,Konut,Kiralık,Belirtilmemiş,85 m2,90 m2,2+1,20 Ve Üzeri,Düz Giriş,12,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Eşyalı,Şişli
"4,200TL",28 Ocak 2021,Konut,Kiralık,Belirtilmemiş,67 m2,84 m2,1+1,5-10,24. Kat,30,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Ataşehir Kiralık Residenc
"3,700TL",27 Ocak 2021,Konut,Kiralık,Belirtilmemiş,100 m2,110 m2,3+1,20 Ve Üzeri,2. Kat,10,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,1,Evet,Belirtilmemiş,Bakırköy
"1,250TL",28 Ocak 2021,Konut,Kiralık,Betonarme,80 m2,85 m2,2+1,5-10,Bahçe Katı,4,Kombi Doğalgaz,Belirtilmemiş,1.250 TL,1,1,Hayır,Boş,Gaziosmanpaşa
850TL,26 Ocak 2021,Konut,Kiralık,Belirtilmemiş,50 m2,66 m2,1+1,4,4. Kat,8,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Tuzla
"1,700TLarrow_downward",26 Ocak 2021,Konut,Kiralık,Betonarme,125 m2,135 m2,3+1,20 Ve Üzeri,4. Kat,6,Kombi Doğalgaz,Belirtilmemiş,2.000 TL,1,2,Hayır,Boş,Bahçelievler
"1,000TL",25 Ocak 2021,Konut,Kiralık,Betonarme,80 m2,85 m2,2+1,20 Ve Üzeri,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Boş,Maltepe
"1,450TL",23 Ocak 2021,Konut,Kiralık,Belirtilmemiş,75 m2,90 m2,2+1,11-20,1. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Ümraniye
"1,950TL",22 Ocak 2021,Konut,Kiralık,Belirtilmemiş,60 m2,75 m2,2+1,5-10,6. Kat,13,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Küçükçekmece
"1,650TL",22 Ocak 2021,Konut,Kiralık,Betonarme,95 m2,100 m2,3+1,20 Ve Üzeri,Müstakil,3,Kombi Doğalgaz,0 TL,0 TL,2,2,Hayır,Boş,Beyoğlu
"2,900TL",19 Ocak 2021,Konut,Kiralık,Belirtilmemiş,48 m2,52 m2,1+1,4,16. Kat,30,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Başakşehir Kiralık Residenc
"2,000TL",15 Ocak 2021,Konut,Kiralık,Betonarme,115 m2,120 m2,3+1,20 Ve Üzeri,5. Kat,5,Kombi Doğalgaz,30 TL,2.000 TL,1,1,Hayır,Boş,Bahçelievler
"4,500TL",14 Ocak 2021,Konut,Kiralık,Betonarme,25 m2,30 m2,1 Oda,11-20,2. Kat,5,Merkezi Doğalgaz,0 TL,0 TL,1,1,Hayır,Eşyalı,Beyoğlu
"3,200TL",11 Ocak 2021,Konut,Kiralık,Belirtilmemiş,120 m2,130 m2,3+1,5-10,5. Kat,7,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Beylikdüzü
"5,750TL",08 Ocak 2021,Konut,Kiralık,Belirtilmemiş,145 m2,165 m2,3+1,20 Ve Üzeri,2. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Bakırköy
"4,000TL",07 Ocak 2021,Konut,Kiralık,Betonarme,130 m2,135 m2,3+1,20 Ve Üzeri,Yüksek Giriş,4,Kombi Doğalgaz,Belirtilmemiş,8.000 TL,1,2,Hayır,Boş,Fatih
"1,750TL",28 Aralık 2020,Konut,Kiralık,Betonarme,80 m2,85 m2,2+1,20 Ve Üzeri,4. Kat,4,Kombi Doğalgaz,0 TL,1.750 TL,1,1,Hayır,Boş,Beyoğlu
"6,500TL",26 Aralık 2020,Konut,Kiralık,Belirtilmemiş,55 m2,66 m2,1+1,3,12. Kat,18,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Bakırköy Kiralık Residenc
"4,000TL",23 Aralık 2020,Konut,Kiralık,Belirtilmemiş,80 m2,90 m2,1+1,0 (Yeni),8. Kat,30,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Beylikdüzü
"2,300TL",23 Aralık 2020,Konut,Kiralık,Kagir,100 m2,115 m2,3+1,20 Ve Üzeri,1. Kat,5,Merkezi Doğalgaz,Belirtilmemiş,2.500 TL,1,2,Hayır,Boş,Bahçelievler
"200,000TL",16 Aralık 2020,Konut,Kiralık,Belirtilmemiş,1.250 m2,1.400 m2,8+ Oda,1,Villa Tipi,6,Yerden Isıtma,1.000 TL,Belirtilmemiş,6+,Belirtilmemiş,Hayır,Eşyalı,Beykoz Kiralık V
"1,700TLarrow_downward",11 Aralık 2020,Konut,Kiralık,Betonarme,80 m2,85 m2,2+1,20 Ve Üzeri,Yüksek Giriş,4,Kombi Doğalgaz,25 TL,1.700 TL,1,1,Hayır,Boş,Üsküdar
"4,700TL",11 Aralık 2020,Konut,Kiralık,Belirtilmemiş,130 m2,160 m2,3+1,11-20,3. Kat,3,Yerden Isıtma,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Bakırköy
"8,500TLarrow_downward",30 Kasım 2020,Konut,Kiralık,Betonarme,137 m2,200 m2,4+1,20 Ve Üzeri,1. Kat,3,Kombi Doğalgaz,0 TL,Belirtilmemiş,1,1,Hayır,Belirtilmemiş,Beşiktaş
"8,500TL",22 Kasım 2020,Konut,Kiralık,Belirtilmemiş,85 m2,100 m2,1+1,4,6. Kat,11,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Beşiktaş Kiralık Residenc
"1,400TL",18 Kasım 2020,Konut,Kiralık,Betonarme,90 m2,100 m2,2+1,11-20,1. Kat,4,Kombi Doğalgaz,50 TL,1.400 TL,1,1,Hayır,Boş,Ataşehir
"5,000TL",17 Kasım 2020,Konut,Kiralık,Belirtilmemiş,60 m2,83 m2,1+1,1,30-40. Kat,30,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Şişli Kiralık Residenc
"3,500TL",17 Kasım 2020,Konut,Kiralık,Belirtilmemiş,38 m2,50 m2,Stüdyo,1,12. Kat,30,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Şişli Kiralık Residenc
"2,600TL",02 Kasım 2020,Konut,Kiralık,Betonarme,54 m2,77 m2,1+1,0 (Yeni),5. Kat,5,Merkezi (Pay Ölçer),445 TL,5.200 TL,1,1,Hayır,Boş,Çekmeköy
"1,400TL",21 Ekim 2020,Konut,Kiralık,Belirtilmemiş,110 m2,125 m2,2+1,11-20,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Pendik
"8,000TL",13 Ekim 2020,Konut,Kiralık,Belirtilmemiş,185 m2,200 m2,3+1,20 Ve Üzeri,Çatı Katı,4,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Eşyalı,Bakırköy
"1,300TLarrow_downward",11 Ekim 2020,Konut,Kiralık,Belirtilmemiş,80 m2,90 m2,2+1,11-20,Bahçe Katı,4,Kombi Doğalgaz,Belirtilmemiş,1.300 TL,1,Belirtilmemiş,Hayır,Boş,Ümraniye
900TLarrow_downward,07 Ekim 2020,Konut,Kiralık,Betonarme,120 m2,125 m2,3+1,11-20,2. Kat,4,Kombi Doğalgaz,15 TL,1.000 TL,1,2,Hayır,Boş,Pendik
"4,500TL",05 Ekim 2020,Konut,Kiralık,Belirtilmemiş,75 m2,85 m2,1+1,5-10,4. Kat,7,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Şişli Kiralık Residenc
"5,000TLarrow_downward",23 Eylül 2020,Konut,Kiralık,Betonarme,165 m2,180 m2,3+1,20 Ve Üzeri,Çatı Dubleks,5,Kombi Doğalgaz,35 TL,20.000 TL,2,2,Hayır,Eşyalı,Sarıyer
"1,700TL",23 Eylül 2020,Konut,Kiralık,Betonarme,70 m2,75 m2,1+1,20 Ve Üzeri,3. Kat,3,Kombi Doğalgaz,30 TL,1.700 TL,1,1,Hayır,Boş,Fatih
"1,350TL",20 Eylül 2020,Konut,Kiralık,Betonarme,69 m2,79 m2,2+1,3,1. Kat,4,Kombi Doğalgaz,0 TL,1.350 TL,1,1,Hayır,Boş,Ataşehir
"2,500TL",20 Ağustos 2020,Konut,Kiralık,Betonarme,85 m2,95 m2,2+1,20 Ve Üzeri,5. Kat,5,Kombi Doğalgaz,30 TL,Belirtilmemiş,1,1,Hayır,Eşyalı,Bahçelievler
"2,700TL",17 Ağustos 2020,Konut,Kiralık,Betonarme,150 m2,160 m2,4+1,20 Ve Üzeri,5. Kat,5,Kombi Doğalgaz,25 TL,2.700 TL,2,2,Hayır,Boş,Üsküdar
"5,000TL",21 Temmuz 2020,Konut,Kiralık,Betonarme,70 m2,80 m2,2+1,20 Ve Üzeri,Düz Giriş,5,Merkezi Doğalgaz,Belirtilmemiş,5.000 TL,1,2,Hayır,Boş,Beşiktaş
"1,500TL",17 Temmuz 2020,Konut,Kiralık,Betonarme,28 m2,35 m2,Stüdyo,20 Ve Üzeri,1. Kat,3,Kombi Doğalgaz,Belirtilmemiş,1.500 TL,1,Belirtilmemiş,Hayır,Boş,Kadıköy
"1,300TL",17 Nisan 2020,Konut,Kiralık,Betonarme,100 m2,115 m2,2+1,0 (Yeni),1. Kat,5,Kombi Doğalgaz,210 TL,1.300 TL,2,Belirtilmemiş,Evet,Boş,Esenyurt
"1,500TL",26 Mart 2020,Konut,Kiralık,Betonarme,75 m2,85 m2,1+1,0 (Yeni),4. Kat,13,Kombi Doğalgaz,Belirtilmemiş,1.500 TL,1,Belirtilmemiş,Evet,Boş,Esenyurt
"13,700TL",29 Kasım 2019,Konut,Kiralık,Taş Bina,100 m2,128 m2,1+1,4,2. Kat,10,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Beşiktaş Kiralık Residenc
"1,800TL",08 Mart 2019,Konut,Kiralık,Betonarme,110 m2,125 m2,3+1,20 Ve Üzeri,Düz Giriş,5,Kombi Doğalgaz,20 TL,3.600 TL,1,1,Hayır,Eşyalı,Bahçelievler
"1,850TLarrow_downward",13 Eylül 2018,Konut,Kiralık,Betonarme,65 m2,70 m2,1+1,20 Ve Üzeri,3. Kat,4,Kombi Doğalgaz,Belirtilmemiş,1.850 TL,1,1,Hayır,Boş,Kadıköy
450TL,15 Ağustos 2018,Konut,Kiralık,Belirtilmemiş,150 m2,150 m2,3+1,11-20,2. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Bahçelievler
"1,500TL",26 Şubat 2021,Konut,Kiralık,Betonarme,59 m2,77 m2,1+1,5-10,2. Kat,9,Kombi Doğalgaz,540 TL,3.200 TL,1,1,Evet,Eşyalı,Pendik Kiralık Residenc
"1,500TL",26 Şubat 2021,Konut,Kiralık,Betonarme,59 m2,77 m2,1+1,5-10,2. Kat,9,Kombi Doğalgaz,540 TL,3.200 TL,1,1,Evet,Eşyalı,Pendik
"3,300TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,160 m2,170 m2,3+2,4,3. Kat,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Avcılar
"1,300TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,110 m2,120 m2,3+1,11-20,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Avcılar
"2,100TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,65 m2,76 m2,1+1,4,9. Kat,23,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Başakşehir
"2,600TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,90 m2,1+1,4,3. Kat,18,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Bağcılar Kiralık Residenc
"1,700TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,32 m2,45 m2,Stüdyo,4,5. Kat,5,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Ataşehir
