price,ann_date,type,category,const_type,net_m2,brut_m2,room,age,floor,no_of_floor,heating,due,deposit,no_of_bathroom,no_of_wc,in_site,furniture,location
"2,000TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,75 m2,2+1,1,Kot 2,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Şişli
"2,900TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,75 m2,2+1,5-10,Düz Giriş,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Şişli
"1,750TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,68 m2,80 m2,2+1,11-20,7. Kat,11,Merkezi Doğalgaz,160 TL,3.500 TL,1,1,Hayır,Boş,Başakşehir
"3,400TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,110 m2,130 m2,3+1,11-20,1. Kat,9,Merkezi Doğalgaz,430 TL,7.000 TL,1,2,Hayır,Boş,Küçükçekmece
"1,750TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,68 m2,80 m2,2+1,11-20,7. Kat,11,Merkezi Doğalgaz,164 TL,3.500 TL,1,1,Hayır,Boş,Başakşehir
"2,600TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,81 m2,110 m2,2+1,4,3. Kat,16,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Avcılar
"1,400TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,85 m2,90 m2,2+1,11-20,Düz Giriş,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Ümraniye
"3,000TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,120 m2,130 m2,3+1,11-20,4. Kat,7,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Ümraniye
"2,350TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,75 m2,85 m2,2+1,0 (Yeni),4. Kat,13,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Bağcılar
"3,800TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,110 m2,140 m2,3+1,0 (Yeni),5. Kat,14,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Bağcılar
"2,650TL",25 Şubat 2021,Konut,Kiralık,Belirtilmemiş,85 m2,100 m2,2+1,4,3. Kat,5,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Eyüpsultan
"1,750TL",25 Şubat 2021,Konut,Kiralık,Belirtilmemiş,90 m2,100 m2,3+1,4,Yüksek Giriş,7,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Eyüpsultan
"2,250TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,65 m2,72 m2,2+1,4,12. Kat,16,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Küçükçekmece
"1,600TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,47 m2,60 m2,1+1,11-20,5. Kat,5,Merkezi (Pay Ölçer),240 TL,3.000 TL,1,Belirtilmemiş,Hayır,Belirtilmemiş,Küçükçekmece
"4,200TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,100 m2,115 m2,3+1,20 Ve Üzeri,8. Kat,9,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Bakırköy
"1,650TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,37 m2,40 m2,Stüdyo,4,Yüksek Giriş,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Ataşehir
"10,000TL",25 Şubat 2021,Konut,Kiralık,Betonarme,225 m2,230 m2,4+1,20 Ve Üzeri,8. Kat,9,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Yok,Hayır,Eşyalı,Beşiktaş
"1,650TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,40 m2,45 m2,1+1,1,Düz Giriş,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Ataşehir
"1,000TL",26 Şubat 2021,Konut,Kiralık,Betonarme,60 m2,70 m2,2+1,5-10,Yüksek Giriş,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Boş,Pendik
"1,000TL",26 Şubat 2021,Konut,Kiralık,Betonarme,60 m2,70 m2,2+1,5-10,Yüksek Giriş,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,1,Hayır,Boş,Pendik
"4,700TL",25 Şubat 2021,Konut,Kiralık,Belirtilmemiş,80 m2,110 m2,2+1,3,13. Kat,22,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Eyüpsultan
"3,750TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,150 m2,172 m2,4+1,4,12. Kat,12,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Başakşehir
"2,600TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,90 m2,1+1,2,3. Kat,14,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Bağcılar
"5,900TL",25 Şubat 2021,Konut,Kiralık,Belirtilmemiş,92 m2,129 m2,2+1,2,3. Kat,22,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Eyüpsultan
"6,000TL",25 Şubat 2021,Konut,Kiralık,Belirtilmemiş,92 m2,129 m2,2+1,3,19. Kat,22,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Eşyalı,Eyüpsultan
"6,000TL",25 Şubat 2021,Konut,Kiralık,Belirtilmemiş,92 m2,129 m2,2+1,3,16. Kat,22,Merkezi (Pay Ölçer),Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Eyüpsultan
800TL,25 Şubat 2021,Konut,Kiralık,Belirtilmemiş,65 m2,70 m2,1+1,11-20,4. Kat,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Silivri
"2,750TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,130 m2,140 m2,3+1,4,4. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Bahçelievler
"1,000TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,55 m2,60 m2,1+1,5-10,Düz Giriş,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Ataşehir
"1,400TL",25 Şubat 2021,Konut,Kiralık,Belirtilmemiş,55 m2,60 m2,1+1,3,Çatı Katı,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Eyüpsultan
"1,650TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,50 m2,60 m2,1+1,5-10,Yüksek Giriş,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Eşyalı,Ümraniye
"1,650TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,120 m2,125 m2,3+1,11-20,3. Kat,5,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Kağıthane
900TL,26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,40 m2,45 m2,1+1,11-20,Çatı Katı,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Ataşehir
"1,200TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,35 m2,40 m2,Stüdyo,2,1. Kat,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Ataşehir
"3,300TL",26 Şubat 2021,Konut,Kiralık,Belirtilmemiş,70 m2,76 m2,2+1,20 Ve Üzeri,1. Kat,4,Merkezi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,Belirtilmemiş,Hayır,Boş,Bakırköy
900TLarrow_downward,25 Şubat 2021,Konut,Kiralık,Betonarme,105 m2,115 m2,3+1,11-20,Düz Giriş,2,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,2,Hayır,Boş,Pendik
900TLarrow_downward,25 Şubat 2021,Konut,Kiralık,Betonarme,105 m2,115 m2,3+1,11-20,Düz Giriş,2,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,2,Hayır,Boş,Pendik
"2,150TL",25 Şubat 2021,Konut,Kiralık,Betonarme,95 m2,110 m2,3+1,11-20,Düz Giriş,4,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,2,Belirtilmemiş,Hayır,Boş,Maltepe
"1,100TL",25 Şubat 2021,Konut,Kiralık,Betonarme,105 m2,115 m2,3+1,20 Ve Üzeri,1. Kat,7,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,2,Hayır,Boş,Pendik
"1,100TL",25 Şubat 2021,Konut,Kiralık,Betonarme,105 m2,115 m2,3+1,20 Ve Üzeri,1. Kat,7,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,2,Hayır,Boş,Pendik
"1,050TL",25 Şubat 2021,Konut,Kiralık,Betonarme,105 m2,115 m2,3+1,11-20,1. Kat,3,Kombi Doğalgaz,Belirtilmemiş,Belirtilmemiş,1,2,Hayır,Boş,Pendik
